vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,hour,day,month,weekday,is_weekend,distance_km,trip_duration
2,6,-73.86159086062914,40.75874847246601,-73.85457989238972,40.64527852173197,20,26,12,5,0,6.78,1146
2,5,-73.80101812203627,40.69179432007488,-73.88952856474306,40.76108367731816,13,24,7,1,0,15.01,2524
1,4,-73.92531166539125,40.83024877431027,-73.9121960886018,40.632995112396344,3,12,10,6,0,4.89,929
1,2,-73.97250987126172,40.696904201615425,-73.77771071399958,40.70149723010256,18,21,6,6,1,15.37,3150
2,1,-73.78989651792682,40.72893959033026,-73.99963632967514,40.8351043666921,21,10,3,5,1,12.28,2366
2,3,-73.84921951247475,40.74962774030211,-74.04710011999295,40.69688995931988,5,16,9,3,0,10.08,1917
2,6,-73.91557435381507,40.652051013198786,-74.02800506436377,40.83676186138174,19,4,10,5,0,24.77,5054
1,1,-73.90362994141621,40.835075578227,-73.98298856865179,40.685029470572836,8,3,1,6,0,24.93,4960
2,6,-73.98872305961908,40.71239795353923,-74.04001433522096,40.69920369290154,10,9,9,1,0,29.64,5783
1,3,-73.86195921098054,40.647771427052355,-73.89914688680706,40.768249649216486,21,6,3,6,1,7.08,1360
1,3,-73.94237724683713,40.71520405820858,-73.95577286342993,40.797557934013646,14,12,9,2,0,26.7,4983
1,2,-73.75130644699769,40.76204456036037,-73.99585509757956,40.74030530896108,8,1,10,6,0,16.37,3001
1,2,-73.90594494542144,40.74300358780069,-73.82497477751541,40.82406545118272,10,14,1,6,1,17.95,3493
1,1,-73.90423431814311,40.782799234288206,-73.98866460213024,40.638852892754336,9,24,8,0,1,26.94,4936
2,6,-73.88024446377679,40.642206467254944,-73.84371846970186,40.83288286449956,1,10,6,3,0,28.31,5235
2,3,-73.77497319906438,40.692598934259856,-73.94522052824571,40.673187715976994,21,18,9,5,0,21.94,3890
2,1,-73.80975457004207,40.81023072690483,-73.89645167180123,40.82453252391863,13,13,4,1,0,10.76,2309
2,4,-73.91466097906064,40.6475766113141,-73.7698398880446,40.71818989948701,3,9,12,1,0,14.95,2668
2,1,-73.83439022020816,40.81820691003311,-74.03879450955526,40.81320655229163,1,27,5,6,1,18.64,3377
1,5,-73.87412935036578,40.65021714025696,-73.89992064775676,40.777766420956816,4,23,6,2,0,24.94,4490
2,1,-73.90228988538962,40.81357992727617,-73.79367311190171,40.66870715914522,13,19,12,6,0,19.91,3535
2,5,-73.9923052681647,40.70937344823732,-73.8736077254889,40.83197046537392,14,4,9,5,0,11.28,1930
1,5,-73.91081912096354,40.764685993916586,-73.96693884491044,40.68401382590746,18,3,6,2,0,12.83,2505
2,5,-73.97625442389322,40.663635165442564,-73.93069565945649,40.6837108261129,5,6,9,0,1,1.99,146
1,4,-73.77554735504451,40.644557118779545,-73.84592031138142,40.80911935726022,14,9,2,5,0,27.77,5104
2,1,-73.94937795595109,40.67750640488443,-73.78275643170586,40.653292116225956,13,10,4,4,1,3.1,517
1,1,-73.76432079563999,40.658127839939915,-74.03768008787601,40.678847899401504,7,9,3,4,0,17.61,3711
2,4,-73.89008341297159,40.69872929748952,-74.02853835343288,40.740809066152636,19,17,4,5,0,26.21,4908
2,3,-73.86053668639715,40.74316431423242,-73.95248454291712,40.81270494631106,11,10,1,4,0,12.92,2532
1,2,-73.8871178666532,40.7595270819843,-73.98016609466876,40.6624464744422,3,6,2,0,1,24.1,4546
1,1,-74.01118581491,40.803770983623544,-73.97052073413327,40.75048701159272,20,16,4,3,1,24.21,4521
1,2,-73.93725363429762,40.77437277651464,-73.98361900041223,40.78647293019665,5,17,10,6,0,2.27,456
1,6,-74.02025616631671,40.7639268315285,-73.99125248534345,40.819330949437514,10,11,4,4,1,12.66,2598
1,6,-73.86311378674499,40.720592046046875,-74.01081280993921,40.83582442324449,22,20,5,6,1,20.89,3973
1,4,-73.91593774143986,40.734237855691234,-73.76981376046143,40.802620781183165,21,7,9,4,0,12.96,2277
1,6,-73.81660450852871,40.72119458246584,-74.00674316082815,40.77362224760884,6,4,1,5,1,16.58,3076
1,6,-73.98385885570019,40.81527652661351,-73.98867886757034,40.72539641876881,3,25,8,1,1,18.04,3301
2,3,-74.0006301824712,40.68060009956065,-73.97612028280577,40.65466423392145,14,10,3,1,1,4.96,815
2,3,-73.92810033071086,40.631258604939234,-73.77009553806087,40.78614218235562,0,21,9,3,1,12.65,2340
1,3,-73.77202438503448,40.77329037738978,-73.82328575991967,40.84840220698461,8,14,11,5,1,1.34,660
2,6,-73.83687345549627,40.674541680400544,-73.81309017090534,40.79208733084106,22,25,8,2,0,4.91,832
2,4,-73.92432291256212,40.82582532998816,-74.01857252213844,40.6336764406223,19,17,8,0,0,15.61,3205
2,5,-73.8948183490737,40.818990192535466,-73.7991070374953,40.739177195169205,7,28,9,4,0,17.42,3218
2,5,-74.02473609664686,40.64688002182421,-73.92754207545477,40.76522225914624,11,14,4,5,1,4.81,789
1,2,-73.75462723108717,40.6534054491911,-73.97115309213628,40.78172832424263,6,20,12,6,0,22.79,4067
2,5,-73.85007780859152,40.73893775029427,-73.8772749749439,40.788339683832156,17,23,5,6,1,11.5,2462
1,5,-73.96437877946097,40.76402898580926,-73.80334512825497,40.752783857067634,0,13,12,5,0,27.66,5133
2,3,-73.87425748173543,40.6904798342461,-73.81640435467753,40.679139273201535,8,2,7,0,1,11.94,2489
2,3,-74.0171552901793,40.787695497673866,-73.78300075522566,40.83728414552484,6,9,2,1,1,4.92,983
2,6,-73.76024899935773,40.760881524602155,-73.77156034419536,40.78326662288601,13,3,7,0,1,22.86,4155
1,2,-73.99756450363499,40.701461304144686,-73.97856337857168,40.68210480811127,0,4,12,1,0,17.25,3173
2,1,-73.85559090458344,40.63558172736931,-73.92284263174922,40.70091080309946,12,12,3,0,1,11.91,2196
1,2,-73.97636366123832,40.795033061885675,-74.04561143823848,40.83282408753868,19,15,6,6,0,11.0,2238
2,2,-73.83473158520543,40.67724580648152,-73.78620350222049,40.82524674107562,14,20,6,1,1,4.95,868
1,4,-73.81695358982792,40.81358422356178,-74.00362835455756,40.71913221643878,4,8,6,0,1,10.55,2011
2,6,-73.84797408132657,40.72246385721194,-73.79155755629719,40.63842758883812,4,18,10,4,0,1.37,524
1,4,-73.86565016192344,40.75695703737899,-73.95118380340402,40.640669421156666,13,5,2,4,0,15.32,2942
1,2,-73.7822592718144,40.822048720689985,-73.93955992300566,40.69246202400205,13,2,9,3,1,26.95,4735
2,2,-74.02641198670307,40.81999706020239,-74.03826032365484,40.76840688825458,13,28,8,0,1,23.96,4197
1,2,-73.95072557026594,40.71173430655359,-73.9519363630704,40.7585228197736,4,22,7,2,1,1.34,196
2,5,-73.97551375611074,40.67595555639727,-73.78349089515962,40.76944211312767,10,9,11,3,0,26.5,5131
2,4,-73.75359581138038,40.80053213710029,-74.04233577966352,40.78780225382506,18,28,12,0,1,13.84,2836
2,2,-73.93318306609994,40.72527764479247,-73.92810175808599,40.6341870957904,4,25,12,2,1,6.13,1272
2,3,-73.83021619022787,40.672249238582985,-74.04058011105617,40.65311883093794,3,14,9,4,1,22.7,4271
2,6,-73.8445824508357,40.828973575309774,-73.93872297246727,40.70908635940199,14,1,4,6,1,10.02,1864
2,6,-73.98637562875679,40.67358292273304,-73.99820780776591,40.66406919945475,20,20,2,6,0,7.97,1467
2,3,-73.97830069593654,40.63567757700207,-73.97433448201949,40.6465704093598,6,4,4,4,0,5.26,1038
2,6,-73.96561463093408,40.63446159422883,-73.78672048805157,40.771012167119416,4,17,12,6,0,14.86,2862
2,5,-73.92666181652218,40.76690937841994,-73.91918523381344,40.809374025048044,14,10,10,5,0,3.26,703
2,5,-73.97970248030484,40.77556851335786,-73.96786060257942,40.79557786463555,13,2,11,4,1,23.68,4260
2,1,-74.04410455517595,40.69842917511254,-73.87319848661484,40.80974875129402,23,6,3,5,1,14.38,2524
1,1,-73.78618208295784,40.70040241763436,-74.00736791205023,40.776488439692734,23,26,2,6,0,13.69,2340
1,1,-73.76031705058574,40.70468866131319,-73.97218251777375,40.79177597079913,2,19,2,2,1,0.55,132
2,6,-73.94752888389053,40.779634880286956,-73.88612560971913,40.68979133032583,4,9,8,1,1,24.63,4568
2,5,-73.94844793617236,40.64278943402591,-73.97874308744558,40.84846176798252,11,19,5,0,1,15.04,2845
2,5,-74.04787245616768,40.834405597592095,-73.84626167877974,40.670296443988654,19,19,12,3,0,13.48,2914
2,5,-73.84592479350088,40.678954629719044,-73.90255260932214,40.677188652365665,13,9,6,5,0,22.96,4360
2,3,-73.8023680312754,40.84992810515326,-73.8184032789236,40.69356280299949,4,3,8,3,0,2.36,289
2,5,-74.00601750989199,40.667734992633186,-73.76552663928327,40.844573134623445,23,6,7,6,1,11.32,2136
2,3,-74.00210009518985,40.799740220608726,-74.01525853319578,40.847423489657864,3,6,7,4,1,17.48,3229
2,1,-73.81297502500857,40.67915075988452,-73.94960049700464,40.80487662493543,20,17,12,1,1,14.09,2537
1,1,-73.86511277549376,40.64778629636152,-73.95413528113647,40.768392671683124,15,13,7,5,0,5.86,965
2,6,-74.03654183271168,40.82248533135714,-74.00464512419882,40.74441376654062,6,13,12,0,0,9.33,1912
1,1,-73.86323590286132,40.818925277022,-73.80690905879996,40.84353658605111,2,7,11,5,0,9.36,1624
2,6,-73.95732468314687,40.718785486338916,-73.82203638878836,40.78303701662882,21,9,11,0,0,29.76,5153
2,2,-73.93938245335875,40.784527151358894,-73.90467235874968,40.83784062823173,3,25,7,3,1,10.12,1844
1,2,-73.81908057451093,40.75255450519047,-73.88866876666161,40.69964117588508,19,25,8,3,1,6.55,1470
2,4,-73.80671944219822,40.817650345008225,-74.03213675859925,40.70343045429931,21,18,1,3,0,24.77,4721
1,6,-73.92989301194805,40.699312313250104,-73.88334779430188,40.81803941070606,5,1,3,0,0,12.92,2444
2,4,-73.7658541191981,40.74520792799978,-73.81259754279411,40.662968082528764,2,22,1,5,1,13.59,2449
2,4,-73.92806118461438,40.736781921665006,-73.87785172792483,40.83810412948514,0,22,8,3,1,16.69,3020
1,2,-73.81844918943096,40.707859281776514,-73.97040808896388,40.74164435802595,2,20,2,0,0,18.07,3247
2,6,-73.90483682063072,40.8261201142024,-73.8497355182997,40.833811053288414,23,13,7,4,0,17.92,3551
1,2,-73.78074030204337,40.66649314342576,-73.94155347101042,40.704094413519684,7,8,6,6,0,1.52,674
2,4,-73.77767162690495,40.662891900694554,-73.88653801471428,40.787510958910666,15,21,11,6,1,24.66,4309
1,6,-74.02377495763868,40.75692009777101,-73.90373039101632,40.736232526833994,21,23,1,6,1,6.25,1155
1,4,-73.76905200060693,40.77464873059669,-73.93564749971044,40.76789679865401,6,9,12,5,1,9.12,1678
2,5,-73.80233954754388,40.67281623595141,-73.83433660588176,40.740961948490614,17,1,6,5,1,5.62,1228
2,6,-73.8126067857062,40.71595783729602,-73.78483716640423,40.842765435821704,8,9,9,5,1,23.13,4309
1,6,-73.98972659809434,40.838244045455326,-74.04843624445692,40.782263187519064,2,20,3,1,0,17.72,3321
2,4,-73.8084642373736,40.68425583299195,-73.76991504423088,40.68529017309779,17,23,12,3,0,22.78,4343
2,5,-73.79496017959448,40.77703935446583,-73.89654545917503,40.83012892281912,15,11,7,0,0,19.78,3760
2,3,-73.96325489966375,40.79283286661347,-73.83978043589102,40.69468654239412,20,20,4,4,0,3.57,673
1,2,-73.7643219764913,40.728588313882334,-73.79331263014724,40.71175312184619,0,4,1,2,0,9.39,1653
1,4,-74.03504195608025,40.83625571708711,-73.90986889230572,40.65246721356445,20,16,7,4,1,15.46,2532
1,6,-74.00502722402585,40.792064481748135,-73.79950777799053,40.82799263435516,19,14,1,1,0,9.5,2216
1,2,-73.88872565858455,40.7307434075694,-73.99671405416343,40.69294464511013,15,20,11,4,0,6.62,1246
1,2,-73.87726225866331,40.75525374439074,-74.00224973965605,40.68696187594491,11,22,4,3,0,26.16,4675
1,2,-73.85645497500973,40.78237495755352,-73.85275858934315,40.83245777155889,5,21,9,3,1,22.56,3973
1,3,-74.04490926120536,40.76028183969443,-73.78895709833448,40.80721590972911,20,18,5,2,0,10.68,2144
1,1,-73.76188996761336,40.82331346844174,-73.78227214673919,40.66103736273426,8,25,7,5,1,23.07,4334
1,4,-74.03662357217975,40.70851550570169,-73.85687786248683,40.799251390858814,20,27,7,0,0,19.01,3417
2,1,-74.00708141418298,40.69597486281228,-73.8923532309372,40.830867281571834,12,22,12,6,0,0.61,188
1,1,-74.04579564474219,40.67704455568896,-73.95058207369104,40.64727246800636,23,26,3,4,1,11.72,2293
2,1,-73.87994247001177,40.63831225297422,-73.7559998753202,40.811547298879006,11,22,11,2,0,9.07,1616
2,2,-73.7703199348237,40.639463072163615,-73.95409129400012,40.75043241141208,12,9,8,6,0,6.93,1179
2,5,-73.85021585017586,40.82141214248404,-73.82674416783053,40.77722343886334,17,1,1,3,1,7.92,1762
1,2,-73.80320275945587,40.7792464922093,-73.8904054600285,40.738427954559086,18,23,4,6,0,28.3,5522
1,2,-74.04601563896243,40.77531713139603,-73.8674462972424,40.78351667867916,18,3,10,5,1,14.85,3128
1,6,-73.88739541045608,40.76522142016567,-73.93195583482341,40.63750152956669,18,20,4,0,1,25.51,4786
1,6,-73.91213110674835,40.81682821183271,-73.76055306235833,40.797795479109126,5,1,2,0,1,6.82,1301
2,1,-73.90030961673376,40.73565872364644,-73.87849530217022,40.637335613528975,15,3,6,1,1,5.64,853
1,2,-74.02833604439944,40.821490382282825,-73.76866371086237,40.730165966504416,6,14,1,5,1,26.72,4935
1,1,-73.8446693916792,40.7090779057601,-74.04772257514782,40.663212298488666,6,14,3,3,0,15.12,2782
1,6,-73.89903387554241,40.8338756509546,-73.87819882504266,40.81118634101729,22,23,9,0,0,26.91,4793
1,5,-73.82045534504162,40.78370453561787,-73.83484393308241,40.69900540001865,18,22,12,1,0,2.36,958
1,4,-73.90441280978149,40.68657896992538,-73.82647594865134,40.729900579812956,15,13,10,1,1,27.53,5035
2,1,-74.00518550913206,40.7540986827715,-73.7785069354655,40.72432516308563,16,1,6,3,0,12.76,2633
1,5,-73.85552291377665,40.74726672352742,-74.04867951729886,40.799950432450636,21,15,2,0,1,5.08,942
2,4,-73.99828409136845,40.660337740780676,-74.04990095222216,40.73585175915512,18,25,12,6,0,20.66,4057
1,3,-73.78828163099355,40.760073439265135,-73.90832096176143,40.80357083370228,15,20,12,5,1,24.01,4306
2,1,-73.86606512827923,40.699252837217735,-74.04121188849838,40.64617182089659,15,7,9,0,1,1.9,263
1,1,-74.00283883493292,40.641516728698114,-73.75764023390128,40.67215067293866,18,16,2,4,0,29.62,5789
1,3,-73.76129858275564,40.838704354695444,-73.98338044763759,40.7513375349222,14,20,12,0,0,21.06,3761
2,3,-73.8944903609994,40.77112788119415,-73.90820058119054,40.838359431445596,2,23,7,1,0,9.98,1763
2,1,-74.0281304644385,40.82292216501159,-74.03165871099633,40.646446726278796,14,21,1,2,1,4.96,887
2,3,-73.86195012867547,40.778732321102915,-73.89338547514862,40.639478527554516,15,1,5,3,0,12.08,2375
1,2,-73.97404032789615,40.708536412270824,-73.93601316245578,40.66444114848413,19,15,7,2,1,7.01,1717
2,4,-73.80889196443681,40.74279137591234,-74.03660199133682,40.771053688349234,4,20,3,0,0,15.08,2707
1,4,-73.80465337793014,40.77866428727638,-73.94946271999113,40.717778441667456,18,15,4,5,1,23.57,4729
1,4,-73.7563157932436,40.84125551154432,-73.93256919393315,40.81162152347189,9,19,5,5,1,19.97,3947
2,2,-73.89943914069265,40.685807281006774,-73.75302355261752,40.645825293325906,12,6,3,6,0,13.36,2323
2,3,-73.91351293608167,40.82249495289731,-73.98763423842418,40.673211099099234,14,6,6,6,0,4.01,694
1,5,-73.82395731836606,40.83329711716474,-73.88656611538897,40.696005809202276,11,1,3,1,0,28.74,5387
1,3,-74.01025880309741,40.77749141322497,-73.75380533524041,40.76788061907153,16,16,8,2,1,8.48,2106
2,1,-73.88592534586206,40.834878658028295,-73.81239423761797,40.780737991866346,14,27,7,3,1,8.7,1614
2,6,-73.88612571996075,40.717533289245026,-73.75198974973537,40.65732472467203,3,18,1,4,0,19.54,3509
2,4,-74.02315806315688,40.8396635587289,-73.75951050560195,40.83763703597818,14,13,2,2,0,23.23,4206
1,3,-73.92460477434793,40.784612232976514,-73.90313813737176,40.70502970974185,16,12,4,5,0,29.53,5553
1,5,-73.79401456042984,40.639241268832144,-73.84108724503884,40.786897127860065,10,18,5,4,1,29.09,5512
1,1,-73.7931539134016,40.82951202300019,-74.01686706191765,40.74532569816849,22,28,11,5,1,27.46,4866
1,2,-74.02022870052409,40.736584017987305,-73.91765535248595,40.679006784980366,22,10,10,6,0,13.34,2411
1,2,-74.02278373517565,40.731271936651126,-73.80729443732,40.816170231085394,14,14,11,6,0,5.42,1010
1,5,-73.97119135689941,40.75462265331552,-73.89839940370686,40.81001236620222,19,20,4,0,1,17.74,3525
2,1,-73.7875701812338,40.66286460028967,-73.83919029015483,40.71713580786167,20,25,4,0,1,1.01,165
1,4,-74.01132922447795,40.73321653068483,-73.82627460100471,40.75949366885265,6,11,9,3,0,6.29,1263
1,3,-73.83400095921176,40.812847987677905,-73.97395925762713,40.686721653105906,12,18,4,4,0,0.57,120
1,1,-74.01965031411606,40.633406141010255,-73.78729018811723,40.78176735832419,21,27,4,4,0,5.83,1039
2,2,-73.86305864387565,40.69004177527136,-73.91205327072724,40.697985898776494,12,24,4,3,1,14.51,2610
1,5,-73.94317981026425,40.63054000901765,-73.98694446891353,40.815697321564095,19,27,2,6,0,12.1,2713
1,5,-73.81332581111025,40.72145648801297,-73.79037523546347,40.677824722941004,19,12,8,5,1,11.39,2341
2,3,-73.97989286535238,40.790229412308626,-73.92465435816813,40.63325675302006,1,17,4,2,0,25.01,4603
1,5,-73.85823945118301,40.80572980240522,-73.82490626848609,40.689071769232946,9,28,5,3,0,20.41,3933
1,5,-73.97929523962723,40.83794174744794,-73.88559007833352,40.67203154702109,17,24,8,6,0,28.12,5453
1,1,-73.83590191506636,40.76387101485358,-73.93543847432964,40.74182301673949,19,3,4,0,0,13.64,2830
1,4,-73.78789658963177,40.68601791066364,-73.80703707548842,40.67481472416445,4,21,5,4,0,8.53,1705
1,3,-74.01195946026196,40.83331254881008,-73.87465902050661,40.79790177155829,19,1,5,1,0,4.12,1025
2,1,-73.79002129342135,40.800569465853684,-73.9328313692719,40.68310154036088,18,1,6,5,1,20.32,3833
2,4,-73.87192742367571,40.75637426626069,-74.01712063889946,40.78553299958079,1,6,7,6,1,25.33,4505
2,1,-74.01186685273989,40.78304084745817,-73.78136640586999,40.75726360306302,3,19,3,1,0,5.92,1191
1,6,-73.92173744339209,40.833349598101634,-74.03935912439749,40.846974968423815,15,24,10,0,1,26.42,5065
1,1,-74.00174191195447,40.786726686264046,-73.79104379548959,40.849978214942034,20,4,11,4,1,16.03,2995
1,5,-73.83989563334003,40.71104239166864,-73.94201154253506,40.821295738329816,15,22,3,4,1,4.75,753
2,4,-73.82233955967462,40.7868662045036,-73.85819837094958,40.79719634124573,16,13,9,3,1,19.46,3938
1,3,-74.01826104391816,40.63886119580179,-73.77334008284929,40.715020411080125,14,26,1,2,0,15.84,2767
1,3,-73.8981580441916,40.71501142360273,-74.00448801534883,40.79572087996889,12,12,10,3,0,1.33,227
2,4,-73.80561248319222,40.71939106700603,-73.87991485730835,40.84046861815749,0,25,12,1,0,12.28,2272
1,5,-73.7691510875347,40.66670441157259,-73.82067014128894,40.635143066587,21,8,8,4,0,23.65,4349
2,2,-73.89594463997747,40.63507880572139,-73.82272485018429,40.7483412340435,4,20,10,2,0,16.89,3068
2,1,-73.76491623291658,40.659343872060305,-73.89231042562015,40.67795962696546,19,26,3,3,1,8.82,1825
2,5,-73.88929330886319,40.774016729075356,-73.86257816202806,40.75273278949115,0,24,5,2,1,27.89,5197
1,6,-73.93174285162003,40.806503539600016,-73.82274190176014,40.73261835974696,11,7,3,6,0,7.51,1348
1,4,-73.79553906143413,40.84740476839993,-73.79769170867277,40.7566690879415,22,21,10,5,0,7.96,1623
1,1,-73.90210518686257,40.70619997068387,-73.82145607093724,40.75121168871212,14,7,1,5,0,10.96,1819
1,3,-73.90842924683064,40.76186342889744,-73.94379851704562,40.84122354861709,3,7,10,1,0,26.89,4896
1,2,-73.90290625317705,40.836171892699326,-73.75098207968269,40.751480943965646,18,14,5,2,1,15.47,2957
1,6,-73.79596449943908,40.6667491918944,-73.9196491918842,40.81617105938747,15,26,8,6,1,20.62,3671
1,3,-73.80041753749359,40.787882028995405,-74.04266058917231,40.70036046309619,22,18,5,5,1,29.3,5242
2,4,-73.92894400226794,40.79609532129282,-73.94121491452437,40.72638215153403,17,23,4,4,1,23.61,4772
1,1,-73.95001004203884,40.649574617891254,-74.01166511362784,40.73349096472986,16,19,9,5,0,5.59,1473
2,4,-73.90242159278826,40.81947486474028,-74.01356721528148,40.69132016953379,10,24,1,2,0,23.76,4721
1,1,-73.87816824707886,40.808883110364384,-73.96553948796793,40.71355385752515,19,24,5,2,0,22.58,4378
1,5,-73.9784988368116,40.637348661447035,-74.03398735174682,40.761672877482695,12,25,1,3,1,7.36,1397
1,2,-73.81181347458532,40.65003857127361,-73.84344634347713,40.757641307927,23,27,6,6,0,10.1,1989
2,5,-73.90405517028027,40.64080791665621,-74.02780333473943,40.770015775806165,21,20,10,6,0,21.45,3995
2,5,-73.94978633547402,40.70364357699586,-73.98901313336921,40.70739994139243,8,26,9,2,0,7.53,1707
2,4,-74.0179537021108,40.74204357794959,-74.02213008565177,40.699482928933676,16,19,11,2,1,6.64,1713
2,2,-73.97834645187892,40.74711650015002,-74.03104968072908,40.764555934205916,16,25,2,1,0,21.25,4242
1,1,-73.7652156484732,40.68888668714928,-73.96967450033813,40.65922958465406,4,25,4,2,1,26.48,4805
2,1,-73.95847009395413,40.83055131504326,-73.87843030970188,40.685666939577075,21,18,8,6,1,2.71,442
1,6,-73.99934221318989,40.711017813771825,-73.76059433306595,40.63926810212966,7,6,3,3,1,13.65,2751
1,3,-73.9117981625035,40.64002103431238,-73.78733300369512,40.64597438757114,2,16,7,6,0,18.41,3303
2,6,-73.95787367699192,40.69604996453911,-73.7872198223664,40.68354432143734,5,3,12,3,0,20.45,3795
2,6,-74.03945222491863,40.74684407295972,-73.9971798891887,40.63429644166533,2,21,7,6,0,29.89,5540
2,1,-73.95305643481618,40.71980880096941,-73.97052784195066,40.68399033025924,7,2,2,6,1,20.64,3851
2,4,-73.88676741281816,40.69024535420184,-74.0270820049614,40.77409479107365,11,15,12,4,1,18.79,3188
2,5,-73.88448628839402,40.658891114948155,-73.81645949802544,40.64344355726317,3,20,10,5,0,29.7,5281
2,5,-73.94303232364693,40.81021619002117,-74.02905510955433,40.726082069114824,1,11,4,1,1,2.29,413
2,5,-73.91580917312422,40.849151953267324,-73.88299129875374,40.8308839331223,9,19,1,0,1,2.7,979
2,2,-73.76034462452957,40.70249926937526,-73.97563732830281,40.80408266236359,14,18,8,4,0,17.04,3053
1,1,-73.93679545683091,40.71395662971886,-73.97696630979138,40.697196250504874,12,22,10,2,0,11.08,2034
2,4,-73.97253195602201,40.76596825542893,-73.75278248342572,40.833457205422164,23,11,10,5,1,3.35,693
2,2,-73.97695988677997,40.78805712444182,-73.82296605790644,40.702522229284504,14,3,9,1,0,9.54,1614
1,3,-73.91267061618876,40.71624649765679,-73.79891819251269,40.64595340919426,21,4,1,4,0,20.39,3875
2,4,-73.82214395538492,40.829084493736,-73.87840519439679,40.848692310488985,18,6,11,3,1,26.48,5026
1,6,-73.98820354474346,40.75320087763036,-73.78869571378188,40.82140495598162,17,12,7,1,1,3.28,1137
1,4,-73.83721116185777,40.72908581680931,-73.85635283825009,40.732505212326245,12,28,1,1,1,16.43,2982
2,4,-74.04365505299518,40.77226800569518,-73.7661478885611,40.77660283532233,19,21,12,6,0,9.24,1962
1,5,-73.92432010660481,40.83961684661482,-73.96559842418631,40.77767017712847,19,4,1,6,0,20.19,3850
1,4,-73.81724048043917,40.804801504772776,-73.87140413626513,40.6727860907607,0,12,9,2,1,16.71,3071
1,6,-73.94838011326767,40.63880288871773,-73.84296059561893,40.6740106992938,15,4,10,1,1,27.84,5341
1,6,-73.88087886956637,40.70310818036279,-73.93211880849165,40.7333077547374,7,2,10,5,0,1.61,699
2,1,-73.98850623015223,40.73351983068927,-73.78608760527878,40.830546090830296,22,12,6,6,1,14.37,2629
1,4,-73.82740138266215,40.699193865886,-73.75605905106876,40.632198630468885,5,13,1,6,0,6.19,1074
